Latitude,Longitude,Agebuilding,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),TotalGHGEmissions
47.66587,-122.38476,37,1.0,3,43500,0,43500,Bureau,46.0,74.0,22.65
47.67528,-122.40836,38,1.0,2,28492,0,28492,Bureau,12.0,70.19999695,37.78
47.6744,-122.40735,53,1.0,3,22325,0,22325,Bureau,,62.79999924,9.77
47.67398,-122.40765,39,1.0,3,22719,0,22719,Restaurant,,59.79999924,9.47
47.67713,-122.35398,99,1.0,2,28072,0,28072,Loisirs,,66.59999847,63.48
47.6158,-122.35126,42,1.0,5,61825,13320,48505,Bureau,59.0,112.5,141.2
47.61683,-122.35176,74,1.0,3,64630,0,64630,Bureau,96.0,21.79999924,9.82
47.61636,-122.35094,68,1.0,2,20920,0,20920,Servicepublic,15.0,57.79999924,42.19
47.57384,-122.41182,90,1.0,2,22128,0,22128,Servicepublic,94.0,32.90000153,25.24
47.72736,-122.34579,48,1.0,1,48139,0,48139,Commerce,98.0,24.0,24.02
47.56633,-122.38725,67,1.0,2,21364,0,21364,Servicepublic,86.0,52.0,43.8
47.61741,-122.33491,24,1.0,2,28923,0,28923,Education,,17.70000076,15.27
47.61789,-122.33573,88,1.0,3,21600,0,21600,Education,,16.60000038,6.33
47.6646,-122.29932,20,1.0,1,25735,0,25735,Commerce,82.0,48.5,18.1
47.66246,-122.29898,13,1.0,2,49965,0,49965,Commerce,82.0,68.5,29.54
47.6026,-122.33232,87,1.0,2,20028,0,20028,Bureau,95.0,27.5,14.22
47.60237,-122.33365,114,1.0,3,23563,0,23563,Bureau,67.0,37.5,6.16
47.60284,-122.33407,113,1.0,3,28600,0,28600,Bureau,,44.90000153,24.25
47.60427,-122.33385,38,1.0,2,38539,12379,26160,Commerce,55.0,86.0,15.24
47.60427,-122.33385,110,1.0,2,46800,0,46800,Commerce,86.0,26.60000038,8.68
47.60431,-122.33335,37,1.0,3,63990,26640,37350,Bureau,51.0,53.0,14.63
47.61285,-122.34817,108,1.0,3,28800,0,28800,Bureau,50.0,40.70000076,28.81
47.6172,-122.34979,62,1.0,3,33552,4968,28584,Bureau,75.0,68.40000153,60.43
47.61652,-122.34854,85,1.0,2,26270,0,26270,Commerce,32.0,63.5,33.78
47.61595,-122.34756,90,1.0,3,57620,7820,49800,Bureau,50.0,47.90000153,16.63
47.61543,-122.34651,62,1.0,2,28696,6080,22616,Autres,,21.79999924,2.92
47.61319,-122.33695,61,1.0,2,31890,0,31890,Bureau,2.0,57.40000153,12.95
47.61267,-122.33852,91,1.0,2,44098,13660,30438,Bureau,53.0,58.79999924,41.69
47.61812,-122.35509,91,1.0,1,24825,1263,23562,Commerce,,19.89999962,11.14
47.6146,-122.34217,64,1.0,4,26670,0,26670,Medical,51.0,61.5,10.83
47.61768,-122.34139,51,1.0,1,23752,0,23752,Bureau,,50.5,30.33
